province,year,total_count,PM25_dcount
CHANGWAT UTTARADIT,2021,814,36.86007145
CHANGWAT YALA,2021,446,25.03476659
CHANGWAT YASOTHON,2021,422,35.24817665
BANGKOK,2022,158,29.72634535
CHANGWAT AMNAT CHAROEN,2022,335,31.33246346
CHANGWAT ANG THONG,2022,99,31.85936922
CHANGWAT BUENG KAN,2022,410,32.23256091
CHANGWAT BURI RAM,2022,1023,31.18380521
CHANGWAT CHACHOENGSAO,2022,527,29.46612344
CHANGWAT CHAI NAT,2022,259,30.43226846
CHANGWAT CHAIYAPHUM,2022,1302,29.74652222
CHANGWAT CHANTHABURI,2022,650,26.920582
CHANGWAT CHIANG MAI,2022,2305,28.40333978
CHANGWAT CHIANG RAI,2022,1214,34.18629553
CHANGWAT CHON BURI,2022,453,32.89862778
CHANGWAT CHUMPHON,2022,601,30.88996608
CHANGWAT KALASIN,2022,711,33.03285859
CHANGWAT KAMPHAENG PHET,2022,879,31.52596132
CHANGWAT KANCHANABURI,2022,1977,28.87442943
CHANGWAT KHON KAEN,2022,1097,30.97344888
CHANGWAT KRABI,2022,531,26.12677299
CHANGWAT LAMPANG,2022,1301,30.10689165
CHANGWAT LAMPHUN,2022,465,28.53984914
CHANGWAT LOEI,2022,1081,30.37185013
CHANGWAT LOP BURI,2022,663,29.7976539
CHANGWAT MAE HONG SON,2022,1335,30.81336886
CHANGWAT MAHA SARAKHAM,2022,571,30.03972344
CHANGWAT MUKDAHAN,2022,417,32.93502849
CHANGWAT NAKHON NAYOK,2022,220,27.68592429
CHANGWAT NAKHON PATHOM,2022,222,30.58394942
CHANGWAT NAKHON PHANOM,2022,579,31.14949536
CHANGWAT NAKHON RATCHASIMA,2022,2118,29.86953597
CHANGWAT NAKHON SAWAN,2022,973,30.44061244
CHANGWAT NAKHON SI THAMMARAT,2022,984,28.01257522
CHANGWAT NAN,2022,1270,29.33343605
CHANGWAT NARATHIWAT,2022,445,24.41993302
CHANGWAT NONG BUA LAM PHU,2022,425,30.96721756
CHANGWAT NONG KHAI,2022,344,31.96262747
CHANGWAT NONTHABURI,2022,63,27.80852966
CHANGWAT PATHUM THANI,2022,151,28.09063421
CHANGWAT PATTANI,2022,201,24.94876004
CHANGWAT PHANGNGA,2022,454,24.63938421
CHANGWAT PHATTHALUNG,2022,384,26.40462014
CHANGWAT PHAYAO,2022,646,32.4081916
CHANGWAT PHETCHABUN,2022,1271,28.35131937
CHANGWAT PHETCHABURI,2022,625,31.41718616
CHANGWAT PHICHIT,2022,446,30.74749824
CHANGWAT PHITSANULOK,2022,1086,29.75868442
CHANGWAT PHRA NAKHON SI AYUTTHAYA,2022,264,30.61852426
CHANGWAT PHRAE,2022,671,31.14304092
CHANGWAT PHUKET,2022,52,26.69546274
CHANGWAT PRACHIN BURI,2022,509,28.10573736
CHANGWAT PRACHUAP KHIRI KHAN,2022,646,31.16754423
CHANGWAT RANONG,2022,324,26.24848531
CHANGWAT RATCHABURI,2022,527,30.48512353
CHANGWAT RAYONG,2022,373,31.33316355
CHANGWAT ROI ET,2022,801,32.06766821
CHANGWAT SA KAEO,2022,691,29.86727794
CHANGWAT SAKON NAKHON,2022,990,30.44404878
CHANGWAT SAMUT PRAKAN,2022,99,33.39099953
